Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://bioportal.bioontology.org#ontologyId,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importCreator,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importDate,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyName,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyVersion,http://protege.stanford.edu/ontologies/metadata/provenance.owl#termUrl
http://purl.bioontology.org/ontology/SNOMEDCT/19438006,Feathery degeneration,,Feathery degeneration (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/33359002,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=19438006
http://purl.bioontology.org/ontology/SNOMEDCT/34014006,Viral disease,,"Viral infection, NOS|Viral infection|Viral disease, NOS|Disease due to virus|Viral illness, NOS|Viral disease (disorder)|Viral infectious disease, NOS|Disease caused by virus|Viral illness|Viral infectious disease|Disease caused by virus, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/40733004,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/255167007,Benign tumor of digestive organ,,Benign tumour of digestive organ|Benign tumor of digestive organ (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/20376005,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/107669003,Degenerative abnormality,,Degenerative abnormality (morphologic abnormality),false,,,http://www.owl-ontologies.com/Ontology1367946239.owl#morphologically_abnormal_structure,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/50960005,Hemorrhage,,"Blood loss|Extravasation of blood|Bleeding|Hemorrhage, NOS|Hemorrhage (morphologic abnormality)|Haemorrhage|Haemorrhage, NOS|Bleeding, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107658001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=50960005
http://purl.bioontology.org/ontology/SNOMEDCT/80006005,Disorder of bilirubin metabolism,,"Disorder of bilirubin metabolism (disorder)|Disorder of bilirubin metabolism, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/29094004,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/128241005,Inflammatory disease of liver,,Inflammatory liver disease|Hepatitis|Inflammatory disorder of liver|Inflammatory disease of liver (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/373407002|http://purl.bioontology.org/ontology/SNOMEDCT/235856003|http://purl.bioontology.org/ontology/SNOMEDCT/363169009,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/255287002,Hypertrophy,,Hypertrophy [dup] (morphologic abnormality)|Hypertrophy (morphologic abnormality)|Hypertrophic,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/57697001|http://purl.bioontology.org/ontology/SNOMEDCT/442021009,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=255287002
http://purl.bioontology.org/ontology/SNOMEDCT/125430006,Giant mitochondria,,Giant mitochondria (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/116023004,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=125430006
http://purl.bioontology.org/ontology/SNOMEDCT/399981008,Neoplasm and/or hamartoma,,Neoplasm and/or hamartoma (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/64572001,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/312158001,Infection of digestive system,,Infection of digestive system (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/301810000,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/107670002,Lysis AND/OR resorbed tissue,,Lysis AND/OR resorbed tissue (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107669003,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/95214007,Primary malignant neoplasm of liver,,Ca liver - primary|Primary malignant neoplasm of liver (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/93839008|http://purl.bioontology.org/ontology/SNOMEDCT/93870000,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/302872003,Disorder of hyperalimentation,,Overnutrition|Overfed|Disorder of hyperalimentation (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/2492009,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/107682006,Fibrosis AND/OR repair abnormality,,Fibrosis AND/OR repair abnormality (morphologic abnormality),false,,,http://www.owl-ontologies.com/Ontology1367946239.owl#morphologically_abnormal_structure,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=107682006
http://purl.bioontology.org/ontology/SNOMEDCT/92186001,Benign neoplasm of liver,,"Benign tumour of liver|Benign neoplasm of liver, NOS|Benign neoplasm of liver (disorder)|Benign tumor of liver",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/92153000|http://purl.bioontology.org/ontology/SNOMEDCT/255167007,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/417163006,Traumatic AND/OR non-traumatic injury,,Injury|Traumatic AND/OR non-traumatic injury (disorder)|Disorder resulting from physical damage to the body,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/64572001,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/76197007,Hyperplasia,,"Cellular proliferation|Hypercellularity|Hyperplasia, NOS|Hyperplasia (morphologic abnormality)",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/57697001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=76197007
http://purl.bioontology.org/ontology/SNOMEDCT/239551005,Cytolysis,,Cytolysis (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/13331008,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/301810000,Infection by site,,Infection by site (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/123946008|http://purl.bioontology.org/ontology/SNOMEDCT/40733004,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/32408007,Piecemeal necrosis,,Piecemeal necrosis (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/6574001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=32408007
http://purl.bioontology.org/ontology/SNOMEDCT/20376005,Benign neoplastic disease,,Benign neoplastic disease (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/55342001,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/27624003,Chronic disease,,"Chronic disease (disorder)|Chronic disease, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/64572001,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/26036001,Obstruction,,"Block|Occlusion, NOS|Obstruction (morphologic abnormality)|Obstruction, NOS|Block, NOS|Occlusion",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107658001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=26036001
http://purl.bioontology.org/ontology/SNOMEDCT/36850000,Retention,,"Content retention|Retention (morphologic abnormality)|Retention, NOS|Content retention, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107658001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=36850000
http://purl.bioontology.org/ontology/SNOMEDCT/366209005,Physique finding,,Physique finding (finding),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/366100000,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/188366002,Malignant neoplasm of abdomen,,Malignant tumour of abdomen|Malignant tumor of abdomen (disorder)|Malignant neoplasm of abdomen (disorder)|Malignant tumor of abdomen,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/363346000,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/238145001,Trace element excess,,Trace element excess (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/238138001,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/154757004,Acidosis,,Acidosis|Acidosis (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/26436007,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/35571009,Cholangiolitis,,"Cholangiolitis, NOS|Cholangiolitis (disorder)",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/370489002,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/282007005,Gastrointestinal and digestive injury,,Gastrointestinal and digestive injury (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/417746004|http://purl.bioontology.org/ontology/SNOMEDCT/123397009,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/118956008,Morphologically altered structure,,"Body structure, altered from its original anatomical structure (morphologic abnormality)|Morphologic alteration|Morphologic change|Body structure, altered from its original anatomical structure",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/123037004,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/249565005,Liver finding,,Liver observation|Liver finding (finding),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/106080006,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/20894005,Mallory bodies,,Alcoholic hyalin|Mallory bodies (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/116023004,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=20894005
http://purl.bioontology.org/ontology/SNOMEDCT/27925004,Nodule,,"Nodule (morphologic abnormality)|A 1 to 5 cm firm lesion raised above the surface of the surrounding skin; differs from a papule only in size|Nodule, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/4147007,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=27925004
http://purl.bioontology.org/ontology/SNOMEDCT/30913008,Disorder of iron metabolism,,"Disorder of iron metabolism (disorder)|Disorder of iron metabolism, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/45744005,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/6855001,Macronucleus,,Karyomegaly|Macronucleus (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/50673007,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=6855001
http://purl.bioontology.org/ontology/SNOMEDCT/3139003,Ballooning degeneration,,Ballooning degeneration (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/33359002,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=3139003
