COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,Human - in vitro,Rat - in vitro,Rat - in vivo - Liver - Single,Rat - in vivo - Liver - Repeat,Rat - in vivo - Kidney - Single,Rat - in vivo - Kidney - Repeat
hexachlorobenzene,HCB,00022,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/hexachlorobenzene.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/hexachlorobenzene.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/hexachlorobenzene.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/hexachlorobenzene.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/hexachlorobenzene.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/hexachlorobenzene.Rat.in_vivo.Kidney.Repeat.zip
hydroxyzine,HYZ,00071,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/hydroxyzine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/hydroxyzine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/hydroxyzine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/hydroxyzine.Rat.in_vivo.Liver.Repeat.zip,,
ibuprofen,IBU,00072,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ibuprofen.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ibuprofen.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ibuprofen.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ibuprofen.Rat.in_vivo.Liver.Repeat.zip,,
"imatinib, methanesulfonate salt",IMA,00186,,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/imatinib%2C_methanesulfonate_salt.Rat.in_vivo.Liver.Single.zip,,,
imipramine,IMI,00069,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/imipramine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/imipramine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/imipramine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/imipramine.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/imipramine.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/imipramine.Rat.in_vivo.Kidney.Repeat.zip
indomethacin,IM,00015,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/indomethacin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/indomethacin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/indomethacin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/indomethacin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/indomethacin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/indomethacin.Rat.in_vivo.Kidney.Repeat.zip
"interferon alpha, human",hIFNA,00179,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/interferon_alpha%2C_human.Human.in_vitro.Liver.zip,,,,,
"interleukin 1 beta, human",hIL1B,00180,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/interleukin_1_beta%2C_human.Human.in_vitro.Liver.zip,,,,,
"interleukin 6, human",hIL6,00181,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/interleukin_6%2C_human.Human.in_vitro.Liver.zip,,,,,
iproniazid,IPA,00062,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/iproniazid.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/iproniazid.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/iproniazid.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/iproniazid.Rat.in_vivo.Liver.Repeat.zip,,
isoniazid,INAH,00002,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/isoniazid.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/isoniazid.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/isoniazid.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/isoniazid.Rat.in_vivo.Liver.Repeat.zip,,
ketoconazole,KC,00047,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ketoconazole.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ketoconazole.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ketoconazole.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ketoconazole.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/ketoconazole.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/ketoconazole.Rat.in_vivo.Kidney.Repeat.zip
labetalol,LBT,00040,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/labetalol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/labetalol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/labetalol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/labetalol.Rat.in_vivo.Liver.Repeat.zip,,
lomustine,LS,00049,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/lomustine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/lomustine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/lomustine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/lomustine.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/lomustine.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/lomustine.Rat.in_vivo.Kidney.Repeat.zip
lornoxicam,LNX,00125,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/lornoxicam.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/lornoxicam.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/lornoxicam.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/lornoxicam.Rat.in_vivo.Liver.Repeat.zip,,
LPS,LPS,00A07,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/LPS.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/LPS.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/LPS.Rat.in_vivo.Liver.Single.zip,,,
mefenamic acid,MEF,00084,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/mefenamic_acid.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/mefenamic_acid.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/mefenamic_acid.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/mefenamic_acid.Rat.in_vivo.Liver.Repeat.zip,,
meloxicam,MLX,00124,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/meloxicam.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/meloxicam.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/meloxicam.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/meloxicam.Rat.in_vivo.Liver.Repeat.zip,,
metformin,MFM,00053,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/metformin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/metformin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/metformin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/metformin.Rat.in_vivo.Liver.Repeat.zip,,
methapyrilene,MP,00025,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/methapyrilene.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/methapyrilene.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/methapyrilene.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/methapyrilene.Rat.in_vivo.Liver.Repeat.zip,,
methimazole,MTZ,00057,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/methimazole.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/methimazole.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/methimazole.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/methimazole.Rat.in_vivo.Liver.Repeat.zip,,
methyldopa,MDP,00056,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/methyldopa.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/methyldopa.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/methyldopa.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/methyldopa.Rat.in_vivo.Liver.Repeat.zip,,
methylene dianiline,DAPM,00155,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/methylene_dianiline.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/methylene_dianiline.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/methylene_dianiline.Rat.in_vivo.Liver.Repeat.zip,,
methyltestosterone,MTS,00041,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/methyltestosterone.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/methyltestosterone.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/methyltestosterone.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/methyltestosterone.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/methyltestosterone.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/methyltestosterone.Rat.in_vivo.Kidney.Repeat.zip
mexiletine,MEX,00103,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/mexiletine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/mexiletine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/mexiletine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/mexiletine.Rat.in_vivo.Liver.Repeat.zip,,
monocrotaline,MCT,00058,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/monocrotaline.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/monocrotaline.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/monocrotaline.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/monocrotaline.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/monocrotaline.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/monocrotaline.Rat.in_vivo.Kidney.Repeat.zip
moxisylyte,MXS,00061,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/moxisylyte.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/moxisylyte.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/moxisylyte.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/moxisylyte.Rat.in_vivo.Liver.Repeat.zip,,
N-methyl-N-nitrosourea,MNU,00164,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/N-methyl-N-nitrosourea.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/N-methyl-N-nitrosourea.Rat.in_vivo.Liver.Single.zip,,,
N-nitrosomorpholine,NMOR,00163,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/N-nitrosomorpholine.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/N-nitrosomorpholine.Rat.in_vivo.Liver.Single.zip,,,
naphthyl isothiocyanate,ANIT,00009,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/naphthyl_isothiocyanate.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/naphthyl_isothiocyanate.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/naphthyl_isothiocyanate.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/naphthyl_isothiocyanate.Rat.in_vivo.Liver.Repeat.zip,,
naproxen,NPX,00073,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/naproxen.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/naproxen.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/naproxen.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/naproxen.Rat.in_vivo.Liver.Repeat.zip,,
nefazodone,NZD,00175,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/nefazodone.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/nefazodone.Rat.in_vitro.Liver.zip,,,,
nicotinic acid,NIC,00081,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/nicotinic_acid.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/nicotinic_acid.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/nicotinic_acid.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/nicotinic_acid.Rat.in_vivo.Liver.Repeat.zip,,
nifedipine,NIF,00091,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/nifedipine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/nifedipine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/nifedipine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/nifedipine.Rat.in_vivo.Liver.Repeat.zip,,
nimesulide,NIM,00136,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/nimesulide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/nimesulide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/nimesulide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/nimesulide.Rat.in_vivo.Liver.Repeat.zip,,
nitrofurantoin,NFT,00020,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/nitrofurantoin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/nitrofurantoin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/nitrofurantoin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/nitrofurantoin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/nitrofurantoin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/nitrofurantoin.Rat.in_vivo.Kidney.Repeat.zip
nitrofurazone,NFZ,00065,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/nitrofurazone.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/nitrofurazone.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/nitrofurazone.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/nitrofurazone.Rat.in_vivo.Liver.Repeat.zip,,
nitrosodiethylamine,DEN,00145,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/nitrosodiethylamine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/nitrosodiethylamine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/nitrosodiethylamine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/nitrosodiethylamine.Rat.in_vivo.Liver.Repeat.zip,,
omeprazole,OPZ,00012,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/omeprazole.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/omeprazole.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/omeprazole.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/omeprazole.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/omeprazole.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/omeprazole.Rat.in_vivo.Kidney.Repeat.zip
papaverine,PAP,00098,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/papaverine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/papaverine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/papaverine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/papaverine.Rat.in_vivo.Liver.Repeat.zip,,
pemoline,PML,00051,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/pemoline.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/pemoline.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/pemoline.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/pemoline.Rat.in_vivo.Liver.Repeat.zip,,
penicillamine,PEN,00099,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/penicillamine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/penicillamine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/penicillamine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/penicillamine.Rat.in_vivo.Liver.Repeat.zip,,
perhexiline,PH,00045,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/perhexiline.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/perhexiline.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/perhexiline.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/perhexiline.Rat.in_vivo.Liver.Repeat.zip,,
phalloidin,PHA,00A11,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/phalloidin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/phalloidin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/phalloidin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/phalloidin.Rat.in_vivo.Liver.Repeat.zip,,
