drug_name,dili_label,severity,injury_type,evidence_count,clinical_liver_risk_score
bremelanotide acetate,,4.0,,,4.0
brentuximab vedotin,,,B,200,
brexanolone,,0.0,E,201,0.0
brexpiprazole,,0.0,E,202,0.0
brigatinib,,3.0,E*,203,3.0
brilliant blue g,,0.0,,,0.0
brincidofovir,,,D,204,
brivaracetam,,0.0,E,205,0.0
brodalumab,,,E,206,
brolucizumab,,,E,207,
bromazepam,1.0,,,,
bromelain,,,E,208,
bromfenac,1.0,,,,
bromfenac sodium,,8.0,,,8.0
bromhexine,1.0,,,,
bromisoval,1.0,,,,
bromobenzene,1.0,,,,
bromocriptine,1.0,,D,209,
bromocriptine mesylate,,3.0,,,3.0
brompheniramine,0.0,,E,210,
brompheniramine maleate,,0.0,,,0.0
brotizolam,1.0,,,,
buchu,,,D,211,
bucillamine,1.0,,,,
budesonide,0.0,0.0,E,212,0.0
buflomedil,1.0,,,,
bumetanide,0.0,3.0,E,213,3.0
bupivacaine,1.0,,C,214,
buprenorphine,1.0,,B[HD],215,
bupropion,1.0,,C,216,
bupropion hydrochloride,,5.0,,,5.0
burosumab,,,E,217,
buspirone,0.0,,E,218,
buspirone hydrochloride,,3.0,,,3.0
busulfan,1.0,8.0,A,219,8.0
butabarbital,,,E,220,
butabarbital sodium,,3.0,,,3.0
butalbital,0.0,,E,221,
butobarbital,0.0,,,,
butoconazole,0.0,,,,
butorphanol,0.0,,E,222,
butorphanol tartrate,,0.0,,,0.0
butterbur,,,C,223,
c1 esterase inh (plasma),,,E,224,
c1 esterase inh (recombinant),,,E,225,
cabazitaxel,1.0,4.0,E*,226,4.0
cabergoline,0.0,0.0,X,227,0.0
cabotegravir,,,E*,228,
cabotegravir sodium,,3.0,,,3.0
cabozantinib,,,E*,229,
cabozantinib s-malate,,4.0,,,4.0
cadmium,,,E,230,
caffeine,0.0,,E,231,
caffeine citrate,,0.0,,,0.0
calaspargase pegol,,,A,232,
calcitonin,,,E,233,
calcitonin salmon,0.0,0.0,,,0.0
calcitriol,0.0,0.0,E,234,0.0
calcium acetate,0.0,0.0,,,0.0
calcium carbimide,1.0,,,,
canagliflozin,,0.0,E,235,0.0
canakinumab,1.0,3.0,E*,236,3.0
candesartan,1.0,,C,237,
candesartan cilexetil,,3.0,,,3.0
cangrelor,,0.0,E,238,0.0
cannabidiol,,3.0,E*,239,3.0
